1619-4500,4OR
1366-6282,A Life in the Day
1551-3696,AACE Journal
1559-7768,AACN Advanced Critical Care
1550-7416,AAPS Journal
0906-4702,"Acta Agriculturae Scandinavica, Section A - Animal Science"
1742-7061,Acta Biomaterialia
0138-4988,Acta Biotechnologica
0108-7673,Acta Crystallographica Section A
0108-7681,Acta Crystallographica Section B
0108-2701,Acta Crystallographica Section C
0907-4449,Acta Crystallographica Section D
1600-5368,Acta Crystallographica Section E
1744-3091,Acta Crystallographica Section F
0001-5555,Acta Dermato-Venereologica
1646-0758,Acta Médica Portuguesa
0001-6322,Acta Neuropathologica
0284-186X,Acta Oncologica
0803-5253,Acta Pædiatrica
0001-690X,Acta Psychiatrica Scandinavica
1751-0147,Acta Veterinaria Scandinavica
0364-3107,Administration in Social Work
1616-301X,Advanced Functional Materials
0935-9648,Advanced Materials
0065-2598,Advances in Experimental Medicine and Biology
0001-9933,African Arts
0269-9370,AIDS
0002-8282,American Economic Review
0002-8762,American Historical Review
0002-9165,American Journal of Clinical Nutrition
0002-919X,American Journal of Comparative Law
0002-9297,American Journal of Human Genetics
1088-0224,American Journal of Managed Care
1552-4825,American Journal of Medical Genetics Part A
1552-4841,American Journal of Medical Genetics Part B: Neuropsychiatric Genetics
1552-4868,American Journal of Medical Genetics Part C: Seminars in Medical Genetics
0002-9343,American Journal of Medicine
0002-9440,American Journal of Pathology
0002-9483,American Journal of Physical Anthropology
0193-1849,American Journal of Physiology - Endocrinology and Metabolism
0002-953X,American Journal of Psychiatry
0090-0036,American Journal of Public Health
1073-449X,American Journal of Respiratory and Critical Care Medicine
1044-1549,American Journal of Respiratory Cell and Molecular Biology
0002-9637,American Journal of Tropical Medicine and Hygiene
0896-7148,American Literary History
0003-0147,American Naturalist
2146-4014,Anadolu Journal of Educational Sciences International
1303-0876,Anadolu Universitesi Sosyal Bilimler Dergisi
0003-2654,Analyst
0003-2700,Analytical Chemistry
0003-3022,Anesthesiology
0044-8249,Angewandte Chemie
1433-7851,Angewandte Chemie International Edition
0923-7534,Annals of Oncology
1068-9265,Annals of Surgical Oncology
0077-8923,Annals of the New York Academy of Sciences
0003-4967,Annals of the Rheumatic Diseases
0066-4804,Antimicrobial Agents and Chemotherapy
0003-598X,Antiquity
0195-6663,Appetite
1063-5203,Applied and Computational Harmonic Analysis
0099-2240,Applied and Environmental Microbiology
1559-128X,Applied Optics
0003-6951,Applied Physics Letters
0003-9888,Archives of Disease in Childhood
0003-9926,Archives of Internal Medicine
0003-9950,Archives of Ophthalmology
0886-4470,Archives of Otolaryngology - Head and Neck Surgery
0003-9993,Archives of Physical Medicine and Rehabilitation
0141-6790,Art History
1079-5642,Arteriosclerosis Thrombosis and Vascular Biology
0004-3591,Arthritis and Rheumatism
0004-6256,Astronomical Journal
0004-6361,Astronomy and Astrophysics
0004-637X,Astrophysical Journal
1680-7316,Atmospheric Chemistry and Physics
1352-2310,Atmospheric Environment
0005-1098,Automatica
0006-3002,BBA - Biochimica et Biophysica Acta
0140-525X,Behavioral and Brain Sciences
0005-7967,Behaviour Research and Therapy
0006-291X,Biochemical and Biophysical Research Communications
0264-6021,Biochemical Journal
0300-5127,Biochemical Society Transactions
0006-2960,Biochemistry
0005-2728,Biochimica et Biophysica Acta - Bioenergetics
0005-2736,Biochimica et Biophysica Acta - Biomembranes
1874-9399,Biochimica et Biophysica Acta - Gene Regulatory Mechanisms
0167-4781,Biochimica et Biophysica Acta - Gene Structure and Expression
0304-4165,Biochimica et Biophysica Acta - General Subjects
1388-1981,Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids
0925-4439,Biochimica et Biophysica Acta - Molecular Basis of Disease
0167-4889,Biochimica et Biophysica Acta - Molecular Cell Research
