Journal Title,ISSN,ESSN,RoMEO Record ID,Updated
"1066 Tidsskrift for Historie",,0106-0627,1939,2014-05-29
"19th-Century Music",0148-2076,1533-8606,107,2013-11-27
"2D Materials",,2053-1583,1471,2014-06-03
"3 Biotech",2190-572X,2190-5738,948,2014-08-27
"3D Research",2092-6731,,74,2014-08-27
"4OR: A Quarterly Journal of Operations Research",1619-4500,1614-2411,74,2014-08-27
"5 to 7 Educator",1746-7500,,621,2011-01-18
"@tic. revista d'innovació educativa",,1989-3477,1865,2014-04-16
"A Current Bibliography on African Affairs",0011-3255,,537,2014-06-06
"A Life in the Day",1366-6282,,31,2014-08-28
"A obra nasce",1645-8729,,845,2010-11-22
"AACE Journal",1551-3696,,99,2014-08-28
"AACN Advanced Critical Care",1559-7768,1559-7776,663,2011-07-22
"AADE in Practice",2325-1603,,65,2013-06-05
"AANS Neurosurgeon",1934-645X,1934-6468,324,2010-08-24
"AAOHN Journal",0891-0162,,799,2013-08-07
"AAPG Bulletin",0149-1423,,634,2013-08-05
"AAPS Journal",1550-7416,,313,2014-09-25
"AAPS PharmSciTech",,1530-9932,313,2014-08-27
"AASRI Procedia",2212-6716,,30,2014-05-16
"ABA Child Law Practice",0887-896X,,632,2011-08-12
"Abacus",0001-3072,1467-6281,2052,2014-08-28
"ABC Journal of Advanced Research",2304-2621,2312-203X,2099,2014-09-11
"Abdominal Imaging",0942-8925,1432-0509,74,2014-08-27
"Abgadiyat",1687-8280,2213-8609,154,2014-03-18
"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg",0025-5858,1865-8784,74,2014-05-16
"ABI-Technik",0720-6763,2191-4664,414,2014-04-01
"ABM",1504-3738,1504-9159,1017,2011-06-16
"ABM-skrift",1503-5972,1504-9167,1017,2011-06-16
"ABO: Interactive Journal for Women in the Arts",2157-7129,,1998,2014-08-12
"ABO - Revista de Medicina Transfusional",0874-2731,,867,2010-11-22
"Aboriginal History Journal",0314-8769,1837-9389,1514,2013-04-16
"About Campus",,1536-0687,1499,2014-03-18
"Abstract and Applied Analysis",1085-3375,1687-0409,100,2013-03-20
"Abstract Bulletin of Paper Science and Technology",1523-388X,,30,2014-05-16
"Abstracts in Anthropology",0001-3455,1557-5136,537,2014-06-06
"Abstracts of Papers Presented to the AMS",0192-5857,,83,2011-01-06
"Abstracts of Working Papers in Economics",0951-0079,,1838,2014-04-29
"Academia Revista Latinoamericana de Administración",1012-8255,,31,2014-08-28
"Academic and Library Computing",1055-4769,,31,2014-08-28
"Academic Book Guide",1567-7842,,1133,2011-11-18
"Academic Emergency Medicine",1069-6563,1553-2712,2050,2014-08-28
"Academic Exchange Quarterly",1096-1453,,1103,2012-01-30
"Academic Medicine",1040-2446,,763,2011-01-26
"Academic Pediatrics",1876-2859,,30,2014-05-16
"Academic Physician and Scientist",1093-1139,,48,2013-10-23
"Academic Psychiatry",1042-9670,1545-7230,373,2014-10-10
"Academic Questions",0895-4852,1936-4709,74,2014-08-28
"Academic Radiology",1076-6332,,30,2014-05-16
"Academische Boekengids",1567-7842,,1133,2011-11-18
"Academy of Contemporary Research Journal",,2305-865X,1697,2013-10-30
"Academy of Management Annals",1941-6520,1941-6067,2,2014-07-22
"Academy of Management Executive",1079-5545,,2,2013-09-12
"Academy of Management Journal",0001-4273,,2,2013-09-12
"Academy of Management Learning and Education",1537-260X,1944-9585,2,2013-09-12
"Academy of Management Perspectives",1558-9080,1943-4529,2,2013-09-12
"Academy of Management Review",0363-7425,1930-3807,2,2013-09-12
"ACC Current Journal Review",1062-1458,,30,2014-05-16
"Accident Analysis and Prevention",0001-4575,,30,2014-05-16
"Accident and Emergency Nursing",0965-2302,,30,2014-05-16
